Designator,Mid X,Mid Y,Rotation,Layer
C1,7.9375,23.5,0.0,top
C10,0.8,-6.88,270.0,top
C11,7.08,0.6,0.0,top
C12,-2.1,7.4,90.0,top
C13,-6.485,3.4,180.0,top
C14,7.085,-0.4,0.0,top
C15,-6.485,-1.4,180.0,top
C16,5.685,-4.0,0.0,top
C17,6.485,3.0,0.0,top
C18,-1.8,-6.08,270.0,top
C19,-14.885,22.0,0.0,top
C2,-3.815,17.17,180.0,top
C3,-1.4,-9.0,180.0,top
C4,1.58,-9.0,0.0,top
C5,9.025,11.0,0.0,top
C6,2.0,4.6,0.0,top
C7,2.0,5.55,0.0,top
C8,-6.48,1.0,180.0,top
C9,4.2,5.05,270.0,top
J1,-0.025,27.165,180.0,top
J2,-22.855,4.425,0.0,top
J3,22.865,4.425,0.0,top
J4,7.6,-12.8,0.0,top
L1,2.0,7.2,0.0,top
R1,-7.0,17.8,270.0,top
R10,-11.1,17.3,0.0,top
R2,-0.4,-6.9,270.0,top
R4,15.4,-9.1,270.0,top
R5,4.2,6.9,270.0,top
R6,-11.1,18.7,0.0,top
R7,-1.1,7.4,270.0,top
R8,-0.1,7.4,270.0,top
R9,-8.7,17.8,270.0,top
SW1,-8.8,24.8,270.0,top
SW2,11.8,-7.475,180.0,top
U1,0.0,0.0,0.0,top
U2,8.0,17.15,90.0,top
U3,-6.95,12.725,270.0,top
Y1,0.0,-12.4,0.0,top
