Designator,Mid X,Mid Y,Rotation,Layer
C1,22.05,-16.175,270.0,top
C10,34.05,-32.925,0.0,top
C11,33.975,-25.85,0.0,top
C12,34.0,-27.2,0.0,top
C13,34.025,-28.3,0.0,top
C14,32.85,-18.775,0.0,top
C15,33.975,-20.15,0.0,top
C16,32.85,-16.625,180.0,top
C2,19.85,-12.55,0.0,top
C3,14.825,-21.775,0.0,top
C4,14.175,-35.075,270.0,top
C5,20.825,-31.82,90.0,top
C6,34.0,-29.475,0.0,top
C7,34.025,-30.6,0.0,top
C8,34.07,-34.0,0.0,top
C9,34.05,-31.75,0.0,top
D1,21.4575,-26.9,180.0,top
J1,27.025,-16.0,180.0,top
J2,28.005,-33.775,90.0,top
J3,34.075,-22.31,270.0,top
L1,33.025,-14.025,180.0,top
R3,22.175,-35.375,270.0,top
R4,28.175,-20.99,270.0,top
R5,27.0,-20.965,270.0,top
R6,24.475,-34.375,270.0,top
R7,33.95,-24.55,0.0,top
R8,32.825,-17.675,180.0,top
R9,21.625,-25.575,0.0,top
U1,16.875,-16.6625,0.0,top
U2,15.925,-27.375,0.0,top
U3,27.3375,-27.5,0.0,top
Y1,18.475,-35.325,0.0,top
